City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1614680'],['160050015002'],[8.0],[96.40201456277148],[34.04988918972891],[39.59934726488845],[33.89133324472435],[0.6385670841367022],[0.31476839904484183],[101.79588198512697],[-99999.0],[5.0],[13.0],[14.0],[1.0]
['1664090'],['160050015002'],[8.0],[2335.5979708567356],[824.9501056603355],[959.4006467458383],[821.1086616293211],[0.6385670841367022],[0.31476839904484183],[101.79588198512697],[-99999.0],[5.0],[13.0],[14.0],[1.0]
['1614680'],['160050015004'],[8.166666666666668],[1.5102776472220878e-05],[7.188999955000081e-06],[5.2301443814305766e-06],[5.2301443814305766e-06],[0.45004280535044083],[0.5590458404318492],[96.73614807595496],[-99999.0],[12.0],[7.0],[14.0],[1.0]
['1664090'],['160050015004'],[8.166666666666668],[770.9999848972217],[366.9999928109992],[266.999994769855],[266.999994769855],[0.45004280535044083],[0.5590458404318492],[96.73614807595496],[-99999.0],[12.0],[7.0],[14.0],[1.0]
['1664090'],['160050015005'],[8.333333333333334],[871.0],[460.0],[344.0],[344.0],[0.6102885611127421],[0.7629982283240173],[44.41050706495851],[-99999.0],[18.0],[12.0],[9.0],[1.0]
['1664090'],['160050016011'],[10.000000000000002],[1371.9999990339747],[610.9999995697949],[766.9999994599553],[634.9999995528965],[0.7169486517958118],[0.6229392131661284],[98.58274572606356],[-99999.0],[14.0],[16.0],[14.0],[1.0]
['1664090'],['160050016012'],[12.000000000000002],[1167.0000000000007],[646.0000000000005],[694.0000000000005],[597.0000000000003],[0.738397797536451],[0.7252124410764705],[170.37995677472122],[-99999.0],[17.0],[17.0],[18.0],[1.0]
['1664090'],['160050016021'],[6.666666666666666],[1511.7984276656377],[783.6474128216186],[731.9783526355777],[639.1654111902823],[0.4656550756050013],[0.2840429155539016],[82.06736873227396],[-99999.0],[5.0],[7.0],[13.0],[1.0]
['1654100'],['160239701002'],[3.5000000000000004],[1.0250892792686],[0.2873123105057137],[0.5520500823288356],[0.45251688904649906],[0.6826989568081708],[0.16256510226055707],[0.33899527867831464],[-99999.0],[2.0],[15.0],[1.0],[1.0]
['1603160'],['160239701002'],[3.5000000000000004],[5.6928625481552194e-09],[1.5955971105940554e-09],[3.065825876784292e-09],[2.513065449185637e-09],[0.6826989568081708],[0.16256510226055707],[0.33899527867831464],[-99999.0],[2.0],[15.0],[1.0],[1.0]
