NAME,NAMELSAD,state_abbr,city_id,city_state_name,population,house_units,miles_driven_pC,agg_vehi_consum_pC,gasoline_consume_pC,diesel_consume_pC,agg_vehi_emitGHG_pC,agg_nonvehi_emitGHG_pC,agg_combined_emitGHG_pC,driveGasoline_emitGHG_pC,driveDiesel_emitGHG_pC,wlk_NatWalkInd_avg,wlk_PeopleCounted,wlk_Workers,wlk_CountHU,wlk_HH,wlk_D2A_EPHHM_avg,wlk_D2B_E8MIXA_avg,wlk_D3B_avg,wlk_D4A_avg,wlk_D2A_Ranked_avg,wlk_D2B_Ranked_avg,wlk_D3B_Ranked_avg,wlk_D4A_Ranked_avg
Thompson Falls,Thompson Falls city,MT,3073825,"Thompson Falls city, MT",574.589024670666,525.10149499,5224.703382480486,275.6608846487424,239.7831743278404,35.877710320902,3.042616967109801,5.405858190394706,8.448475157504506,2.5885767647111884,0.4540402023986123,12.898519333132064,574.589024670666,145.23903660300894,242.54513078689232,227.2436816797696,0.8613332900633094,0.910306703915316,158.21592418189303,,19.91301657125605,19.971005523752016,17.753546951892154,1.0
Livingston,Livingston city,MT,3043975,"Livingston city, MT",5564.560991663896,3324.14622259499,6593.64479889043,370.8463245492372,283.78959778085994,87.05672676837726,4.165369402583634,5.632152373361238,9.797521775944873,3.0636476514314563,1.1017217511521773,11.65841262793356,5564.560991663896,2864.541654684406,2818.622529422898,2689.2980144499634,0.5531812200814235,0.7207340919632388,143.4293450093419,-68069.12170325678,11.575832179178022,15.752547287230495,16.31929447069144,4.991753679904981
Great Falls,Great Falls city,MT,3032800,"Great Falls city, MT",47329.19497059804,25554.1129159479,4524.678424317826,236.9050084903916,207.8110257401772,29.09398275021436,2.6116124264228384,6.928325891924792,9.53993831834763,2.243421767143416,0.3681906592794229,9.19349722423032,47329.19497059804,22342.05731456904,23052.98961067813,21142.38242406258,0.5750449015761748,0.6102834735303683,106.89153475972422,,12.437521998731189,12.408530949666362,14.157465198492194,1.0
Bridger,Bridger town,MT,3009475,"Bridger town, MT",93.24921305109288,322.384439663999,2525.407494145199,131.72014051522248,113.77166276346604,17.94847775175644,1.4553626793161594,4.501715586534498,5.957078265850657,1.228220802137705,0.2271418771784543,7.4858734254912065,93.24921305109288,27.845685430260147,43.156199207286136,38.07871752686616,0.6481976262740244,0.903166978691828,6.942817738579839,,14.966096221178896,19.97457216588417,3.987286082942086,1.0
Joliet,Joliet town,MT,3039700,"Joliet town, MT",79.14318672950084,242.695312172999,3403.8083182640144,177.89511754068715,150.72151898734177,27.17359855334539,1.9710003716528028,3.323631931583835,5.294632303236638,1.627112590724051,0.3438877809287522,7.999999996761901,79.14318672950084,36.01299683545948,35.30127753465586,30.746273982257275,0.6570560607105825,0.804630954172663,17.810572896647628,,14.999999994678356,18.9999999920796,5.999999996906726,1.0
Red Lodge,Red Lodge city,MT,3061525,"Red Lodge city, MT",737.2157554134369,1036.237956773,3671.3341924398624,193.9729381443299,172.01245704467354,21.96048109965636,2.1348733404446736,8.941208786924461,11.076082127369132,1.85695869109622,0.2779146493484536,9.867571202728683,737.2157554134369,389.1532398235833,563.941355692674,333.49852645417246,0.74786842618683,0.8160427740010147,100.3373664212782,,16.136980583689596,18.60284903481266,11.232798798934937,1.0
Glendive,Glendive city,MT,3031450,"Glendive city, MT",2553.690511987845,2173.713311825,3057.8225294227536,165.71754156547732,137.5271810199888,28.19036054548851,1.84142837679193,4.610426171616077,6.451854548408008,1.4846732524186064,0.3567551243733233,9.06872415258368,2553.690511987845,1252.8017897783682,1213.961727723786,1102.7427343605325,0.6865094831294946,0.6342715598487507,85.06722841209977,,15.210364227328489,12.733709673728972,12.234135507222312,1.0
Richey,Richey town,MT,3062275,"Richey town, MT",0.1711490491839709,111.8117357,3519.9850746268658,185.4577114427861,160.3781094527363,25.07960199004976,2.048748013106468,7.745673935426881,9.794421948533348,1.731360212664677,0.317387800441791,5.666666666666666,0.1711490491839709,0.0706514467339825,0.0942019289786433,0.0680865427271383,0.5628642151934401,0.7726401499745983,0.1225841552993173,,12.0,18.0,1.0,1.0
Lima,Lima town,MT,3043525,"Lima town, MT",0.1118940648145603,70.4958801599999,8436.683229813665,478.0931677018633,370.8819875776397,107.2111801242236,5.360633367577639,3.0803104696387424,8.440943837216382,4.003852639721739,1.3567807278559003,5.666666666666666,0.1118940648145603,0.0486308820155589,0.1327666115203533,0.0527193189991678,0.6840739999115938,0.6658607755479317,0.1088130410556421,,16.0,14.0,1.0,1.0
Melstone,Melstone town,MT,3049000,"Melstone town, MT",0.5149207019670162,54.6380092369999,5526.858585858586,282.37373737373736,233.1919191919192,49.18181818181818,3.139827510149495,14.277342989508387,17.417170499657885,2.517420938440404,0.6224065717090909,4.0,0.5149207019670162,0.1655306817224334,0.2720659993707816,0.2136434058216874,0.4313203868837961,0.6142365229148461,0.1672508651678739,,8.0,12.0,1.0,1.0
Roundup,Roundup city,MT,3064525,"Roundup city, MT",268.95727671812483,768.204155502,2279.6112938596493,120.72916666666666,103.82730263157896,16.90186403508772,1.3347633194434212,3.9903544676652167,5.325117787108638,1.1208665657552634,0.2138967536881578,8.533057828366802,268.95727671812483,111.00153815104976,141.6380711628372,113.89222616314518,0.7324634802496162,0.8334807207520079,17.879238919805637,,17.19834697296486,19.99999999833765,5.999999999449148,1.0
Rexford,Rexford town,MT,3062200,"Rexford town, MT",2.711094038197864,68.887827392,2052.5060240963853,108.72289156626506,96.96385542168674,11.759036144578314,1.1955854445493976,6.123170524682323,7.318755969231719,1.046772292780723,0.1488131517686746,7.166666666666666,2.711094038197864,0.6673462247871665,1.688122522570168,0.924186712616438,0.6333592609246714,0.798194000163429,4.248104175358857,,14.0,19.0,4.0,1.0
Hot Springs,Hot Springs town,MT,3037825,"Hot Springs town, MT",2.4755613970481827,320.661095762,2396.0400843881857,123.81012658227849,109.95991561181437,13.850210970464136,1.3623485479611817,3.635139326359792,4.997487874320974,1.1870711254042197,0.175277422556962,6.500000000000001,2.4755613970481827,0.6825782013856341,1.5421211216490252,1.1454090046043832,0.5831799290961436,0.9167034139594172,1.140308997100112,,13.000000000000002,20.0,2.0,1.0
Conrad,Conrad city,MT,3017275,"Conrad city, MT",1285.4197653255417,1071.07181657499,1557.1298801700812,80.74178585233861,71.12717433320448,9.614611519134131,0.8895276640139158,6.19636390073909,7.085891564753005,0.7678526707914961,0.1216749932224197,9.009487218878542,1285.4197653255417,524.2569039328573,632.3312989405854,518.9310673098356,0.5681436348050207,0.4259157836707585,194.79325407294792,-99999.00000000004,11.74628538949729,6.971772984538904,16.66943246961752,1.0
Valier,Valier town,MT,3076225,"Valier town, MT",1.92000251872652,237.64677207,3538.8472998137804,186.08193668528864,160.00372439478585,26.0782122905028,2.0573439729579146,3.3609708065207484,5.418314779478663,1.7273185426651771,0.3300254302927374,6.333333333333333,1.92000251872652,0.3989963393169476,0.8127207314274739,0.6587456340400613,0.663672740688143,0.7974060081013762,0.3998077199392639,,15.0,19.0,1.0,1.0
Plains,Plains town,MT,3058150,"Plains town, MT",49.421971479842526,409.672346753999,3593.625954198473,186.91730279898212,163.12468193384225,23.79262086513995,2.062111582608652,4.702059171419736,6.764170754028388,1.761010807320102,0.3011007752885496,8.40981168588048,49.421971479842526,17.550086893869203,28.19004248457909,18.19919119910368,0.8570026882273305,0.8188417863089632,11.78354014584161,,19.651322099625244,19.02343131378795,4.8920583509348425,1.0
